Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        29 |        29 |        29 |          
Sentences  |         1 |         1 |         1 |          
Words      |        29 |        29 |        29 |        29
UPOS       |        29 |        29 |        29 |        29
XPOS       |        29 |        29 |        29 |        29
UFeats     |        29 |        29 |        29 |        29
AllTags    |        29 |        29 |        29 |        29
Lemmas     |        29 |        29 |        29 |        29
UAS        |         8 |        29 |        29 |        29
LAS        |         4 |        29 |        29 |        29
CLAS       |         3 |        19 |        19 |        19
MLAS       |         3 |        19 |        19 |        19
BLEX       |         3 |        19 |        19 |        19
