Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        42 |        42 |        42 |          
Sentences  |         1 |         1 |         1 |          
Words      |        42 |        42 |        42 |        42
UPOS       |        42 |        42 |        42 |        42
XPOS       |        42 |        42 |        42 |        42
UFeats     |        42 |        42 |        42 |        42
AllTags    |        42 |        42 |        42 |        42
Lemmas     |        42 |        42 |        42 |        42
UAS        |        10 |        42 |        42 |        42
LAS        |         6 |        42 |        42 |        42
CLAS       |         4 |        26 |        25 |        26
MLAS       |         4 |        26 |        25 |        26
BLEX       |         4 |        26 |        25 |        26
