Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        27 |        27 |        27 |          
Sentences  |         1 |         1 |         1 |          
Words      |        27 |        27 |        27 |        27
UPOS       |        27 |        27 |        27 |        27
XPOS       |        27 |        27 |        27 |        27
UFeats     |        27 |        27 |        27 |        27
AllTags    |        27 |        27 |        27 |        27
Lemmas     |        27 |        27 |        27 |        27
UAS        |         7 |        27 |        27 |        27
LAS        |         5 |        27 |        27 |        27
CLAS       |         3 |        18 |        23 |        18
MLAS       |         3 |        18 |        23 |        18
BLEX       |         3 |        18 |        23 |        18
