Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        55 |        55 |        55 |          
Sentences  |         1 |         1 |         1 |          
Words      |        55 |        55 |        55 |        55
UPOS       |        55 |        55 |        55 |        55
XPOS       |        55 |        55 |        55 |        55
UFeats     |        55 |        55 |        55 |        55
AllTags    |        55 |        55 |        55 |        55
Lemmas     |        55 |        55 |        55 |        55
UAS        |        13 |        55 |        55 |        55
LAS        |         8 |        55 |        55 |        55
CLAS       |         3 |        32 |        38 |        32
MLAS       |         3 |        32 |        38 |        32
BLEX       |         3 |        32 |        38 |        32
