Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        25 |        25 |        25 |          
Sentences  |         1 |         1 |         1 |          
Words      |        25 |        25 |        25 |        25
UPOS       |        25 |        25 |        25 |        25
XPOS       |        25 |        25 |        25 |        25
UFeats     |        25 |        25 |        25 |        25
AllTags    |        25 |        25 |        25 |        25
Lemmas     |        25 |        25 |        25 |        25
UAS        |         3 |        25 |        25 |        25
LAS        |         1 |        25 |        25 |        25
CLAS       |         1 |        14 |        18 |        14
MLAS       |         1 |        14 |        18 |        14
BLEX       |         1 |        14 |        18 |        14
