Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        41 |        41 |        41 |          
Sentences  |         1 |         1 |         1 |          
Words      |        41 |        41 |        41 |        41
UPOS       |        41 |        41 |        41 |        41
XPOS       |        41 |        41 |        41 |        41
UFeats     |        41 |        41 |        41 |        41
AllTags    |        41 |        41 |        41 |        41
Lemmas     |        41 |        41 |        41 |        41
UAS        |        12 |        41 |        41 |        41
LAS        |        10 |        41 |        41 |        41
CLAS       |         5 |        23 |        28 |        23
MLAS       |         3 |        23 |        28 |        23
BLEX       |         5 |        23 |        28 |        23
