Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        35 |        35 |        35 |          
Sentences  |         1 |         1 |         1 |          
Words      |        35 |        35 |        35 |        35
UPOS       |        35 |        35 |        35 |        35
XPOS       |        35 |        35 |        35 |        35
UFeats     |        35 |        35 |        35 |        35
AllTags    |        35 |        35 |        35 |        35
Lemmas     |        35 |        35 |        35 |        35
UAS        |        17 |        35 |        35 |        35
LAS        |        13 |        35 |        35 |        35
CLAS       |         6 |        18 |        20 |        18
MLAS       |         5 |        18 |        20 |        18
BLEX       |         6 |        18 |        20 |        18
