Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        25 |        25 |        25 |          
Sentences  |         1 |         1 |         1 |          
Words      |        25 |        25 |        25 |        25
UPOS       |        25 |        25 |        25 |        25
XPOS       |        25 |        25 |        25 |        25
UFeats     |        25 |        25 |        25 |        25
AllTags    |        25 |        25 |        25 |        25
Lemmas     |        25 |        25 |        25 |        25
UAS        |         7 |        25 |        25 |        25
LAS        |         5 |        25 |        25 |        25
CLAS       |         3 |        14 |        13 |        14
MLAS       |         2 |        14 |        13 |        14
BLEX       |         3 |        14 |        13 |        14
