Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        25 |        25 |        25 |          
Sentences  |         2 |         2 |         2 |          
Words      |        25 |        25 |        25 |        25
UPOS       |        25 |        25 |        25 |        25
XPOS       |        25 |        25 |        25 |        25
UFeats     |        25 |        25 |        25 |        25
AllTags    |        25 |        25 |        25 |        25
Lemmas     |        25 |        25 |        25 |        25
UAS        |         9 |        25 |        25 |        25
LAS        |         6 |        25 |        25 |        25
CLAS       |         5 |        18 |        21 |        18
MLAS       |         4 |        18 |        21 |        18
BLEX       |         5 |        18 |        21 |        18
