Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        28 |        29 |        30 |          
Sentences  |         1 |         1 |         1 |          
Words      |        28 |        29 |        30 |        28
UPOS       |         0 |        29 |        30 |        28
XPOS       |         0 |        29 |        30 |        28
UFeats     |         9 |        29 |        30 |        28
AllTags    |         0 |        29 |        30 |        28
Lemmas     |        23 |        29 |        30 |        28
UAS        |        25 |        29 |        30 |        28
LAS        |        22 |        29 |        30 |        28
CLAS       |        13 |        19 |        20 |        18
MLAS       |         0 |        19 |        20 |        18
BLEX       |         9 |        19 |        20 |        18
