Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        25 |        25 |        25 |          
Sentences  |         1 |         1 |         1 |          
Words      |        25 |        25 |        25 |        25
UPOS       |         0 |        25 |        25 |        25
XPOS       |        23 |        25 |        25 |        25
UFeats     |        10 |        25 |        25 |        25
AllTags    |         0 |        25 |        25 |        25
Lemmas     |        25 |        25 |        25 |        25
UAS        |        20 |        25 |        25 |        25
LAS        |        20 |        25 |        25 |        25
CLAS       |        11 |        14 |        14 |        14
MLAS       |         0 |        14 |        14 |        14
BLEX       |        11 |        14 |        14 |        14
