Metric     | Correct   |      Gold | Predicted | Aligned
-----------+-----------+-----------+-----------+-----------
Tokens     |        27 |        27 |        27 |          
Sentences  |         1 |         1 |         1 |          
Words      |        27 |        27 |        27 |        27
UPOS       |         0 |        27 |        27 |        27
XPOS       |         0 |        27 |        27 |        27
UFeats     |        10 |        27 |        27 |        27
AllTags    |         0 |        27 |        27 |        27
Lemmas     |        24 |        27 |        27 |        27
UAS        |        18 |        27 |        27 |        27
LAS        |        17 |        27 |        27 |        27
CLAS       |         9 |        18 |        16 |        18
MLAS       |         0 |        18 |        16 |        18
BLEX       |         8 |        18 |        16 |        18
